,,Tutuban,Blumentritt,"Laon Laan",España,"Sta. Mesa",Pandacan,Paco,"San Andres","Vito Cruz",Buendia,"Pasay Road",EDSA,Nichols,FTI,Bicutan,Sucat,Alabang,Muntinlupa,"San Pedro","Pacita Main Gate","Golden City 1",Biñan,"Sta. Rosa",Cabuyao,Mamatid,Calamba
,,TU,BLU,LLN,SPÑ,SA,PD,PC,SAN,VTC,DIA,PRD,EDS,NIC,FTI,BIC,SU,AA,MP,SPL,PMG,GC1,ÑA,SRL,AO,TD,???
Tutuban,TU,0,15,15,15,15,15,15,15,15,15,15,15,20,20,20,25,30,35,40,40,40,45,45,50,55,60
Blumentritt,BLU,15,0,15,15,15,15,15,15,15,15,15,15,15,15,20,25,30,30,35,35,40,40,45,50,55,55
"Laon Laan",LLN,15,15,0,15,15,15,15,15,15,15,15,15,15,15,20,25,25,30,35,35,35,40,45,45,55,55
España,SPÑ,15,15,15,0,15,15,15,15,15,15,15,15,15,15,20,20,25,30,35,35,35,40,40,45,50,55
"Sta. Mesa",SA,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,20,25,25,30,35,35,35,40,45,50,55
Pandacan,PD,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,20,20,25,30,30,35,35,40,40,50,50
Paco,PC,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,20,25,30,30,30,30,35,40,45,50
"San Andres",SAN,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,20,25,25,30,30,30,35,40,45,50
"Vito Cruz",VTC,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,20,20,25,30,30,30,35,40,45,50
Buendia,DIA,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,20,25,25,30,30,35,40,45,45
"Pasay Road",PRD,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,25,25,30,35,35,45,45
EDSA,EDS,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,20,25,25,25,25,30,35,40,45
Nichols,NIC,20,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,20,20,20,25,30,30,40,40
FTI,FTI,20,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,20,20,20,25,25,30,35,40
Bicutan,BIC,20,20,20,20,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,20,20,20,25,30,35,40
Sucat,SU,25,25,25,20,20,20,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,30,35
Alabang,AA,30,30,25,25,25,20,20,20,20,20,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,30
Muntinlupa,MP,35,30,30,30,25,25,25,25,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,15,20,25
"San Pedro",SPL,40,35,35,35,30,30,30,25,25,25,25,25,20,20,15,15,15,15,0,15,15,15,15,15,20,20
"Pacita Main Gate",PMG,40,35,35,35,35,30,30,30,30,25,25,25,20,20,20,15,15,15,15,0,15,15,15,15,15,20
"Golden City 1",GC1,40,40,35,35,35,35,30,30,30,30,25,25,20,20,20,15,15,15,15,15,0,15,15,15,15,20
Biñan,ÑA,45,40,40,40,35,35,30,30,30,30,30,25,25,25,20,15,15,15,15,15,15,0,15,15,15,20
"Sta. Rosa",SRL,45,45,45,40,40,40,35,35,35,35,35,30,30,25,25,20,15,15,15,15,15,15,0,15,15,15
Cabuyao,AO,50,50,45,45,45,40,40,40,40,40,35,35,30,30,30,25,20,15,15,15,15,15,15,0,15,15
Mamatid,TD,55,55,55,50,50,50,45,45,45,45,45,40,40,35,35,30,25,20,20,15,15,15,15,15,0,15
Calamba,???,60,55,55,55,55,50,50,50,50,45,45,45,40,40,40,35,30,25,20,20,20,20,15,15,15,0
